Unnamed: 0,product_name,category,categoryRank,noRatings,cost,product_url
75,Gaudi and Modernism: a journey through Barcelona's breath-taking architecture,Amazon Explore,#26,20,$34.90 - $139.90,https://www.amazon.com/Gaudi-Modernism-Barcelonas-breath-taking-architecture/dp/B09CTBDXX6/ref=cm_cr_arp_d_product_top?ie=UTF8
76,Icons of Barcelona: visit historic Placa d'Espanya and see some of the city's greatest buildings,Amazon Explore,#27,38,$49.00,https://www.amazon.com/Virtually-explore-Barcelonas-iconic-dEspanya/dp/B08P7WX9NK/ref=cm_cr_arp_d_product_top?ie=UTF8
77,Prague's Jewish Quarter and WWII: The brave heroes and heartbreaking loss of the war,Amazon Explore,#28,23,$12.50 - $49.00,https://www.amazon.com/Pragues-Jewish-Quarter-WWII-heartbreaking/dp/B09CTBB734/ref=cm_cr_arp_d_product_top?ie=UTF8
78,Great Britain's medieval Durham: stroll the historic architecture of this UNESCO heritage site,Amazon Explore,#29,5,$59.50,https://www.amazon.com/Historic-Durham-beautiful-architecture-heritage/dp/B09CT4NK41/ref=cm_cr_arp_d_product_top?ie=UTF8
79,Uncover your birth chart with an expert astrologer,Amazon Explore,#30,17,$20.30,https://www.amazon.com/Uncover-birth-chart-expert-astrologer/dp/B09CSXYK33/ref=cm_cr_arp_d_product_top?ie=UTF8
80,Califia Farms - Cold Brew Coffee,Amazon Launchpad,#1,"1,111",$8.99 - $84.98,https://www.amazon.com/Califia-Farms-Cold-Brew-Coffee/dp/B096PZPFMV/ref=cm_cr_arp_d_product_top?ie=UTF8
81,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",Amazon Launchpad,#2,"70,076",$10.00 - $32.18,https://www.amazon.com/Formula-Fiber-Daily-Gummy-Multivitamin/dp/B0B649MPVQ/ref=cm_cr_arp_d_product_top?ie=UTF8
82,"Dude Wipes Flushable Wipes Dispenser,",Amazon Launchpad,#3,"81,953",$8.24 - $19.15,https://www.amazon.com/Dude-Wipes-Flushable-Dispenser/dp/B0B4WQRP5L/ref=cm_cr_arp_d_product_top?ie=UTF8
83,"Hint Water Bottles, Zero Sugar, Zero Calories, Zero Sweeteners, Zero Preservatives, Zero Artificial Flavors",Amazon Launchpad,#4,"84,607",$11.96 - $54.29,https://www.amazon.com/Hint-Calories-Sweeteners-Preservatives-Artificial/dp/B0B3JDX2R5/ref=cm_cr_arp_d_product_top?ie=UTF8
84,"Bloom Nutrition Green Superfood | Best Tasting Greens Powder | Complete Whole Foods (Organic Spirulina, Chlorella, Wheat Grass), Probiotics, Digestive Enzymes, Antioxidants, & Adaptogens",Amazon Launchpad,#5,"8,983",$39.99 - $74.99,https://www.amazon.com/Bloom-Nutrition-Probiotics-Antioxidants-Adaptogens/dp/B08PQ4Y1KZ/ref=cm_cr_arp_d_product_top?ie=UTF8
